designation,site,description,publication,year,pages,translit_printed(yes/no/partial),accessibility(open/paywalled/pending_edition),notes,channel,sources
PH 8b,Phaistos,tablet,SigLA database entry,2026,,partial,open,"SIDE-LEVEL GAP, not a new document: side/face of inventoried document PH8a. Inventory may omit sides with no parsed signs (blank or numeral-only?) — verify against GORILA; do not assume completeness. translit: SigLA stores sign-by-sign editorial transcriptions (verified on sample pages ARKH 7, KH Wc 2026); this item's own page not fetched in this pass (no bulk scraping), so marked partial.",sigla,sigla
PH 12b,Phaistos,tablet,SigLA database entry,2026,,partial,open,"SIDE-LEVEL GAP, not a new document: side/face of inventoried document PH12a/PH12c. Inventory may omit sides with no parsed signs (blank or numeral-only?) — verify against GORILA; do not assume completeness. translit: SigLA stores sign-by-sign editorial transcriptions (verified on sample pages ARKH 7, KH Wc 2026); this item's own page not fetched in this pass (no bulk scraping), so marked partial.",sigla,sigla
PH 13b,Phaistos,tablet,SigLA database entry,2026,,partial,open,"SIDE-LEVEL GAP, not a new document: side/face of inventoried document PH13a/PH13c. Inventory may omit sides with no parsed signs (blank or numeral-only?) — verify against GORILA; do not assume completeness. translit: SigLA stores sign-by-sign editorial transcriptions (verified on sample pages ARKH 7, KH Wc 2026); this item's own page not fetched in this pass (no bulk scraping), so marked partial.",sigla,sigla
PH 17a,Phaistos,tablet,SigLA database entry,2026,,partial,open,"ABSENT from inventory under space/dot/case/side normalization — candidate post-GORILA or differently-sourced item, or a document whose signs were never parsed into the silver layer; verify against GORILA / first edition before treating as a true corpus gap. translit: SigLA stores sign-by-sign editorial transcriptions (verified on sample pages ARKH 7, KH Wc 2026); this item's own page not fetched in this pass (no bulk scraping), so marked partial.",sigla,sigla
PH 17b,Phaistos,tablet,SigLA database entry,2026,,partial,open,"ABSENT from inventory under space/dot/case/side normalization — candidate post-GORILA or differently-sourced item, or a document whose signs were never parsed into the silver layer; verify against GORILA / first edition before treating as a true corpus gap. translit: SigLA stores sign-by-sign editorial transcriptions (verified on sample pages ARKH 7, KH Wc 2026); this item's own page not fetched in this pass (no bulk scraping), so marked partial.",sigla,sigla
PH 18b,Phaistos,tablet,SigLA database entry,2026,,partial,open,"SIDE-LEVEL GAP, not a new document: side/face of inventoried document PH18a. Inventory may omit sides with no parsed signs (blank or numeral-only?) — verify against GORILA; do not assume completeness. translit: SigLA stores sign-by-sign editorial transcriptions (verified on sample pages ARKH 7, KH Wc 2026); this item's own page not fetched in this pass (no bulk scraping), so marked partial.",sigla,sigla
PH 22a,Phaistos,tablet,SigLA database entry,2026,,partial,open,"ABSENT from inventory under space/dot/case/side normalization — candidate post-GORILA or differently-sourced item, or a document whose signs were never parsed into the silver layer; verify against GORILA / first edition before treating as a true corpus gap. translit: SigLA stores sign-by-sign editorial transcriptions (verified on sample pages ARKH 7, KH Wc 2026); this item's own page not fetched in this pass (no bulk scraping), so marked partial.",sigla,sigla
PH 22b,Phaistos,tablet,SigLA database entry,2026,,partial,open,"ABSENT from inventory under space/dot/case/side normalization — candidate post-GORILA or differently-sourced item, or a document whose signs were never parsed into the silver layer; verify against GORILA / first edition before treating as a true corpus gap. translit: SigLA stores sign-by-sign editorial transcriptions (verified on sample pages ARKH 7, KH Wc 2026); this item's own page not fetched in this pass (no bulk scraping), so marked partial.",sigla,sigla
PH 26,Phaistos,tablet,SigLA database entry,2026,,partial,open,"ABSENT from inventory under space/dot/case/side normalization — candidate post-GORILA or differently-sourced item, or a document whose signs were never parsed into the silver layer; verify against GORILA / first edition before treating as a true corpus gap. translit: SigLA stores sign-by-sign editorial transcriptions (verified on sample pages ARKH 7, KH Wc 2026); this item's own page not fetched in this pass (no bulk scraping), so marked partial.",sigla,sigla
PH 28b,Phaistos,tablet,SigLA database entry,2026,,partial,open,"SIDE-LEVEL GAP, not a new document: side/face of inventoried document PH28a. Inventory may omit sides with no parsed signs (blank or numeral-only?) — verify against GORILA; do not assume completeness. translit: SigLA stores sign-by-sign editorial transcriptions (verified on sample pages ARKH 7, KH Wc 2026); this item's own page not fetched in this pass (no bulk scraping), so marked partial.",sigla,sigla
PH 29a,Phaistos,tablet,SigLA database entry,2026,,partial,open,"ABSENT from inventory under space/dot/case/side normalization — candidate post-GORILA or differently-sourced item, or a document whose signs were never parsed into the silver layer; verify against GORILA / first edition before treating as a true corpus gap. translit: SigLA stores sign-by-sign editorial transcriptions (verified on sample pages ARKH 7, KH Wc 2026); this item's own page not fetched in this pass (no bulk scraping), so marked partial.",sigla,sigla
PH 29b,Phaistos,tablet,SigLA database entry,2026,,partial,open,"ABSENT from inventory under space/dot/case/side normalization — candidate post-GORILA or differently-sourced item, or a document whose signs were never parsed into the silver layer; verify against GORILA / first edition before treating as a true corpus gap. translit: SigLA stores sign-by-sign editorial transcriptions (verified on sample pages ARKH 7, KH Wc 2026); this item's own page not fetched in this pass (no bulk scraping), so marked partial.",sigla,sigla
PH 31a,Phaistos,tablet,SigLA database entry,2026,,partial,open,"ABSENT from inventory under space/dot/case/side normalization — candidate post-GORILA or differently-sourced item, or a document whose signs were never parsed into the silver layer; verify against GORILA / first edition before treating as a true corpus gap. translit: SigLA stores sign-by-sign editorial transcriptions (verified on sample pages ARKH 7, KH Wc 2026); this item's own page not fetched in this pass (no bulk scraping), so marked partial.",sigla,sigla
PH 31b,Phaistos,tablet,SigLA database entry,2026,,partial,open,"ABSENT from inventory under space/dot/case/side normalization — candidate post-GORILA or differently-sourced item, or a document whose signs were never parsed into the silver layer; verify against GORILA / first edition before treating as a true corpus gap. translit: SigLA stores sign-by-sign editorial transcriptions (verified on sample pages ARKH 7, KH Wc 2026); this item's own page not fetched in this pass (no bulk scraping), so marked partial.",sigla,sigla
PH Wb 33a,Phaistos,flat-based nodule (Wb series),SigLA database entry,2026,,partial,open,"ABSENT from inventory under space/dot/case/side normalization — candidate post-GORILA or differently-sourced item, or a document whose signs were never parsed into the silver layer; verify against GORILA / first edition before treating as a true corpus gap. translit: SigLA stores sign-by-sign editorial transcriptions (verified on sample pages ARKH 7, KH Wc 2026); this item's own page not fetched in this pass (no bulk scraping), so marked partial.",sigla,sigla
PH Wb 33b,Phaistos,flat-based nodule (Wb series),SigLA database entry,2026,,partial,open,"ABSENT from inventory under space/dot/case/side normalization — candidate post-GORILA or differently-sourced item, or a document whose signs were never parsed into the silver layer; verify against GORILA / first edition before treating as a true corpus gap. translit: SigLA stores sign-by-sign editorial transcriptions (verified on sample pages ARKH 7, KH Wc 2026); this item's own page not fetched in this pass (no bulk scraping), so marked partial.",sigla,sigla
PH Wb 34,Phaistos,flat-based nodule (Wb series),SigLA database entry,2026,,partial,open,"ABSENT from inventory under space/dot/case/side normalization — candidate post-GORILA or differently-sourced item, or a document whose signs were never parsed into the silver layer; verify against GORILA / first edition before treating as a true corpus gap. translit: SigLA stores sign-by-sign editorial transcriptions (verified on sample pages ARKH 7, KH Wc 2026); this item's own page not fetched in this pass (no bulk scraping), so marked partial.",sigla,sigla
PH Wb 35,Phaistos,flat-based nodule (Wb series),SigLA database entry,2026,,partial,open,"ABSENT from inventory under space/dot/case/side normalization — candidate post-GORILA or differently-sourced item, or a document whose signs were never parsed into the silver layer; verify against GORILA / first edition before treating as a true corpus gap. translit: SigLA stores sign-by-sign editorial transcriptions (verified on sample pages ARKH 7, KH Wc 2026); this item's own page not fetched in this pass (no bulk scraping), so marked partial.",sigla,sigla
PH Wc 37a,Phaistos,roundel (Wc series),SigLA database entry,2026,,partial,open,"SIDE-LEVEL GAP, not a new document: side/face of inventoried document PHWc37. Inventory may omit sides with no parsed signs (blank or numeral-only?) — verify against GORILA; do not assume completeness. translit: SigLA stores sign-by-sign editorial transcriptions (verified on sample pages ARKH 7, KH Wc 2026); this item's own page not fetched in this pass (no bulk scraping), so marked partial.",sigla,sigla
PH Wc 37b,Phaistos,roundel (Wc series),SigLA database entry,2026,,partial,open,"SIDE-LEVEL GAP, not a new document: side/face of inventoried document PHWc37. Inventory may omit sides with no parsed signs (blank or numeral-only?) — verify against GORILA; do not assume completeness. translit: SigLA stores sign-by-sign editorial transcriptions (verified on sample pages ARKH 7, KH Wc 2026); this item's own page not fetched in this pass (no bulk scraping), so marked partial.",sigla,sigla
PH Wc 39a,Phaistos,roundel (Wc series),SigLA database entry,2026,,partial,open,"SIDE-LEVEL GAP, not a new document: side/face of inventoried document PHWc39. Inventory may omit sides with no parsed signs (blank or numeral-only?) — verify against GORILA; do not assume completeness. translit: SigLA stores sign-by-sign editorial transcriptions (verified on sample pages ARKH 7, KH Wc 2026); this item's own page not fetched in this pass (no bulk scraping), so marked partial.",sigla,sigla
PH Wc 39b,Phaistos,roundel (Wc series),SigLA database entry,2026,,partial,open,"SIDE-LEVEL GAP, not a new document: side/face of inventoried document PHWc39. Inventory may omit sides with no parsed signs (blank or numeral-only?) — verify against GORILA; do not assume completeness. translit: SigLA stores sign-by-sign editorial transcriptions (verified on sample pages ARKH 7, KH Wc 2026); this item's own page not fetched in this pass (no bulk scraping), so marked partial.",sigla,sigla
PH Wc 40a,Phaistos,roundel (Wc series),SigLA database entry,2026,,partial,open,"SIDE-LEVEL GAP, not a new document: side/face of inventoried document PHWc40. Inventory may omit sides with no parsed signs (blank or numeral-only?) — verify against GORILA; do not assume completeness. translit: SigLA stores sign-by-sign editorial transcriptions (verified on sample pages ARKH 7, KH Wc 2026); this item's own page not fetched in this pass (no bulk scraping), so marked partial.",sigla,sigla
PH Wc 40b,Phaistos,roundel (Wc series),SigLA database entry,2026,,partial,open,"SIDE-LEVEL GAP, not a new document: side/face of inventoried document PHWc40. Inventory may omit sides with no parsed signs (blank or numeral-only?) — verify against GORILA; do not assume completeness. translit: SigLA stores sign-by-sign editorial transcriptions (verified on sample pages ARKH 7, KH Wc 2026); this item's own page not fetched in this pass (no bulk scraping), so marked partial.",sigla,sigla
PH Wc 42,Phaistos,roundel (Wc series),SigLA database entry,2026,,partial,open,"ABSENT from inventory under space/dot/case/side normalization — candidate post-GORILA or differently-sourced item, or a document whose signs were never parsed into the silver layer; verify against GORILA / first edition before treating as a true corpus gap. translit: SigLA stores sign-by-sign editorial transcriptions (verified on sample pages ARKH 7, KH Wc 2026); this item's own page not fetched in this pass (no bulk scraping), so marked partial.",sigla,sigla
PH Wc 45,Phaistos,roundel (Wc series),SigLA database entry,2026,,partial,open,"ABSENT from inventory under space/dot/case/side normalization — candidate post-GORILA or differently-sourced item, or a document whose signs were never parsed into the silver layer; verify against GORILA / first edition before treating as a true corpus gap. translit: SigLA stores sign-by-sign editorial transcriptions (verified on sample pages ARKH 7, KH Wc 2026); this item's own page not fetched in this pass (no bulk scraping), so marked partial.",sigla,sigla
PH Wc <47>,Phaistos,roundel (Wc series),SigLA database entry,2026,,partial,open,"angle-bracketed designation in SigLA (lost/older-documentation item) — treat with caution; ABSENT from inventory under space/dot/case/side normalization — candidate post-GORILA or differently-sourced item, or a document whose signs were never parsed into the silver layer; verify against GORILA / first edition before treating as a true corpus gap. translit: SigLA stores sign-by-sign editorial transcriptions (verified on sample pages ARKH 7, KH Wc 2026); this item's own page not fetched in this pass (no bulk scraping), so marked partial.",sigla,sigla
PYR 2,Pyrgos,tablet,SigLA database entry,2026,,partial,open,"ABSENT from inventory under space/dot/case/side normalization — candidate post-GORILA or differently-sourced item, or a document whose signs were never parsed into the silver layer; verify against GORILA / first edition before treating as a true corpus gap. translit: SigLA stores sign-by-sign editorial transcriptions (verified on sample pages ARKH 7, KH Wc 2026); this item's own page not fetched in this pass (no bulk scraping), so marked partial.",sigla,sigla
THE 7a,Thera,tablet,SigLA database entry,2026,,partial,open,"added to SigLA 2026-06-26; ABSENT from inventory under space/dot/case/side normalization — candidate post-GORILA or differently-sourced item, or a document whose signs were never parsed into the silver layer; verify against GORILA / first edition before treating as a true corpus gap. translit: SigLA stores sign-by-sign editorial transcriptions (verified on sample pages ARKH 7, KH Wc 2026); this item's own page not fetched in this pass (no bulk scraping), so marked partial.",sigla,sigla
THE 7b,Thera,tablet,SigLA database entry,2026,,partial,open,"added to SigLA 2026-06-26; ABSENT from inventory under space/dot/case/side normalization — candidate post-GORILA or differently-sourced item, or a document whose signs were never parsed into the silver layer; verify against GORILA / first edition before treating as a true corpus gap. translit: SigLA stores sign-by-sign editorial transcriptions (verified on sample pages ARKH 7, KH Wc 2026); this item's own page not fetched in this pass (no bulk scraping), so marked partial.",sigla,sigla
THE 8,Thera,tablet,SigLA database entry,2026,,partial,open,"added to SigLA 2026-06-26; ABSENT from inventory under space/dot/case/side normalization — candidate post-GORILA or differently-sourced item, or a document whose signs were never parsed into the silver layer; verify against GORILA / first edition before treating as a true corpus gap. translit: SigLA stores sign-by-sign editorial transcriptions (verified on sample pages ARKH 7, KH Wc 2026); this item's own page not fetched in this pass (no bulk scraping), so marked partial.",sigla,sigla
THE 9,Thera,tablet,SigLA database entry,2026,,partial,open,"added to SigLA 2026-06-26; ABSENT from inventory under space/dot/case/side normalization — candidate post-GORILA or differently-sourced item, or a document whose signs were never parsed into the silver layer; verify against GORILA / first edition before treating as a true corpus gap. translit: SigLA stores sign-by-sign editorial transcriptions (verified on sample pages ARKH 7, KH Wc 2026); this item's own page not fetched in this pass (no bulk scraping), so marked partial.",sigla,sigla
THE 10,Thera,tablet,SigLA database entry,2026,,partial,open,"added to SigLA 2026-06-26; ABSENT from inventory under space/dot/case/side normalization — candidate post-GORILA or differently-sourced item, or a document whose signs were never parsed into the silver layer; verify against GORILA / first edition before treating as a true corpus gap. translit: SigLA stores sign-by-sign editorial transcriptions (verified on sample pages ARKH 7, KH Wc 2026); this item's own page not fetched in this pass (no bulk scraping), so marked partial.",sigla,sigla
THE 11,Thera,tablet,SigLA database entry,2026,,partial,open,"added to SigLA 2026-06-26; ABSENT from inventory under space/dot/case/side normalization — candidate post-GORILA or differently-sourced item, or a document whose signs were never parsed into the silver layer; verify against GORILA / first edition before treating as a true corpus gap. translit: SigLA stores sign-by-sign editorial transcriptions (verified on sample pages ARKH 7, KH Wc 2026); this item's own page not fetched in this pass (no bulk scraping), so marked partial.",sigla,sigla
THE 12,Thera,tablet,SigLA database entry,2026,,partial,open,"added to SigLA 2026-06-26; ABSENT from inventory under space/dot/case/side normalization — candidate post-GORILA or differently-sourced item, or a document whose signs were never parsed into the silver layer; verify against GORILA / first edition before treating as a true corpus gap. translit: SigLA stores sign-by-sign editorial transcriptions (verified on sample pages ARKH 7, KH Wc 2026); this item's own page not fetched in this pass (no bulk scraping), so marked partial.",sigla,sigla
ZA 18b,Zakros,tablet,SigLA database entry,2026,,partial,open,"SIDE-LEVEL GAP, not a new document: side/face of inventoried document ZA18a. Inventory may omit sides with no parsed signs (blank or numeral-only?) — verify against GORILA; do not assume completeness. translit: SigLA stores sign-by-sign editorial transcriptions (verified on sample pages ARKH 7, KH Wc 2026); this item's own page not fetched in this pass (no bulk scraping), so marked partial.",sigla,sigla
ZA 25,Zakros,tablet,SigLA database entry,2026,,partial,open,"ABSENT from inventory under space/dot/case/side normalization — candidate post-GORILA or differently-sourced item, or a document whose signs were never parsed into the silver layer; verify against GORILA / first edition before treating as a true corpus gap. translit: SigLA stores sign-by-sign editorial transcriptions (verified on sample pages ARKH 7, KH Wc 2026); this item's own page not fetched in this pass (no bulk scraping), so marked partial.",sigla,sigla
ZA 30,Zakros,tablet,SigLA database entry,2026,,partial,open,"ABSENT from inventory under space/dot/case/side normalization — candidate post-GORILA or differently-sourced item, or a document whose signs were never parsed into the silver layer; verify against GORILA / first edition before treating as a true corpus gap. translit: SigLA stores sign-by-sign editorial transcriptions (verified on sample pages ARKH 7, KH Wc 2026); this item's own page not fetched in this pass (no bulk scraping), so marked partial.",sigla,sigla
ZA 33,Zakros,tablet,SigLA database entry,2026,,partial,open,"ABSENT from inventory under space/dot/case/side normalization — candidate post-GORILA or differently-sourced item, or a document whose signs were never parsed into the silver layer; verify against GORILA / first edition before treating as a true corpus gap. translit: SigLA stores sign-by-sign editorial transcriptions (verified on sample pages ARKH 7, KH Wc 2026); this item's own page not fetched in this pass (no bulk scraping), so marked partial.",sigla,sigla
